original,organized,web,bytes,sha256
01-home-page-connected-v4.png,source/references/full-pages/home-page-reference.png,,647353,724cf3522cdb772b986690bc63d58381a8264f8e6d3e6da2330aea30e06a36a0
02-about-page-connected-v4.png,source/references/full-pages/about-page-reference.png,,591769,cd836f0599953d40ba5eb79bec87e651b5f7d0e914d150f90249b2700e6c1cf1
03-work-page-connected-v4.png,source/references/full-pages/work-page-reference.png,,715819,58e52d58188934d5002065f4e2f184acae52f58b0a6fb4f8a166a8578202ddee
04-contact-page-connected-v4.png,source/references/full-pages/contact-page-reference.png,,716936,2af1c9c2aa3defec9552d419575aa65b2f70cbbfc22fb205d3ff41784da64057
home.png,source/references/heroes/home-hero-reference.png,,138710,999f65f27cff6fd73b5732f529692e8640acf856b3303428dcfbfddfb47a0498
about.png,source/references/heroes/about-hero-reference.png,,1819234,ef2344684938b6d46617122d75aa217502f72688c562a0ab0df5ee2a6733488c
work.png,source/references/heroes/work-hero-reference.png,,1927607,9cdbd8772006d20afcf50473c0a39113741b1bea4954633e1f1648d62e372f4f
contact.png,source/references/heroes/contact-hero-reference.png,,1852775,9909e1efff336b7b22bdbb686d6b6faeffd8f586a8d905960e57768207c25b25
124590.png,source/references/portrait-alternates/home-portrait-background-reference.png,,1498572,73bc0b0eab045cc3647cfa539141e545e4ba8fa3209d91426bb13a4070f5e6b4
file_00000000265c81f4bdaac013b58efb2d.png,source/references/portrait-alternates/about-portrait-background-reference.png,,1567461,00a297318b7f2f15fdfa0e058b58a5e3d292779d454a26cb162de198a327bcc5
"ChatGPT Image Aug 21, 2026, 01_05_26 PM.png",source/portraits/home-portrait-motion-transparent.png,web/portraits/home-portrait-motion-transparent.webp,995951,eb4469c1138c4f0e11ed408875a09d34a18a6eb18cbbc5470a360addab02e2af
"ChatGPT Image Aug 21, 2026, 01_00_53 PM.png",source/portraits/about-portrait-motion-transparent.png,web/portraits/about-portrait-motion-transparent.webp,1637614,9d544f7a07612061a04bf3922e68a63e7e9e0c998ed3ad29c12d9340e8465f9a
logo/transparent_png_reference/logo-ez-current-primary-white-reference.png,source/brand/logo/ez-wordmark-white.png,web/brand/logo/ez-wordmark-white.webp,26279,42a704bfdcde117c4f0068bf3f5b6495339be7576494957a7852253c6089f7fe
logo/transparent_png_reference/logo-ez-symbol-white-reference.png,source/brand/logo/ez-symbol-white.png,web/brand/logo/ez-symbol-white.webp,14892,4153e75fdc559919ca409e1f3cc823281c0bacd996beb713631862d877bb69d5
